D (m),L (m),P (kPa),G (kg m-2s-1),Tin (C),Xe (-),CHF (kW m-2)
0.00783,1.65,11760,1823,292.79,0.291,1163
0.00782,1.65,11760,2106,284.71,0.244,1290
0.00782,1.65,11760,2898,271.44,0.147,1604
0.00792,1.65,11760,4049,302.71,0.143,1442
0.0079,1.65,11760,4534,280.09,0.099,1965
0.00795,2,11760,985,36.34,0.296,1628
0.00795,2,11760,985,56.56,0.298,1546
0.00795,2,11760,985,76.73,0.31,1477
0.00795,2,11760,985,96.84,0.318,1407
0.00795,2,11760,985,137.2,0.371,1302
0.00795,2,11760,985,153.39,0.384,1256
0.00795,2,11760,985,177.73,0.416,1186
0.00795,2,11760,985,198.01,0.443,1135
0.00795,2,11760,985,239.38,0.485,1004
0.00795,2,11760,985,259.3,0.473,898
0.00795,2,11760,1495,38.51,0.182,2256
0.00795,2,11760,1495,56.56,0.189,2163
0.00795,2,11760,1495,97.32,0.218,1953
0.00795,2,11760,1495,137.67,0.225,1721
0.00795,2,11760,1495,157.36,0.204,1558
0.00795,2,11760,1495,218.54,0.268,1279
0.00795,2,11760,1495,239.81,0.293,1174
0.00795,2,11760,2004,35.86,0.059,2744
0.00795,2,11760,2004,56.56,0.09,2640
0.00795,2,11760,2004,95.89,0.115,2384
0.00795,2,11760,2004,117.09,0.131,2244
0.00795,2,11760,2004,117.09,0.15,2291
0.00795,2,11760,2004,137.2,0.117,2046
0.00795,2,11760,2004,137.2,0.152,2128
0.00795,2,11760,2004,157.82,0.14,1930
0.00795,2,11760,2004,158.29,0.155,1953
0.00795,2,11760,2004,178.65,0.153,1779
0.00795,2,11760,2004,199.13,0.156,1616
0.00795,2,11760,2004,219.42,0.167,1453
0.00795,2,11760,2004,238.96,0.2,1360
0.00795,2,11760,2004,259.3,0.229,1244
0.00795,2,11760,2004,279.51,0.25,1090
0.00795,2,11760,2787,98.04,0.035,3023
0.00795,2,11760,2787,137.2,0.044,2593
0.00795,2,11760,2787,157.36,0.058,2407
0.00795,2,11760,2787,177.73,0.072,2221
0.00795,2,11760,2776,198.01,0.094,2046
0.00795,2,11760,2815,278.54,0.155,1232
0.00805,0.5,11760,994,259.3,0.208,2396
0.00805,0.5,11760,994,279.51,0.233,2117
0.00805,0.5,11760,1507,259.3,0.099,2838
0.00805,0.5,11760,2004,259.3,0.04,3211
0.00805,0.5,11760,2004,279.51,0.068,2663
0.00805,0.5,11760,2004,300.77,0.116,2232
0.00805,0.5,11760,2795,279.51,0.038,3314
0.00805,0.5,11760,2795,299.7,0.077,2640
0.00805,0.5,11760,3330,279.51,0.018,3628
0.00805,1,11760,1005,259.3,0.353,1570
0.00805,1,11760,1005,280.67,0.379,1418
0.00805,1,11760,1005,300.77,0.41,1279
0.00805,1,11760,1507,279.51,0.231,1604
0.00805,1,11760,1507,299.7,0.276,1442
0.00805,1,11760,2014,259.3,0.126,2023
0.00805,1,11760,2014,280.67,0.155,1744
0.00805,1,11760,2014,299.7,0.184,1477
0.00805,1,11760,2773,259.3,0.056,2326
0.00805,1,11760,2773,279.51,0.097,2046
0.00805,1,11760,2773,318.55,0.174,1314
0.00805,1,11760,3313,259.3,0.042,2663
0.00805,1,11760,3313,279.51,0.069,2209
0.00805,1,11760,3330,300.77,0.096,1732
0.00805,2,11760,999,259.3,0.463,912
0.00805,2,11760,999,279.51,0.464,814
0.00805,2,11760,999,299.7,0.485,732
0.00805,2,11760,1452,279.51,0.353,985
0.00805,2,11760,1452,319.48,0.398,737
0.00805,2,11760,2009,259.3,0.236,1279
0.00805,2,11760,2009,298.8,0.293,1017
0.00805,2,11760,2009,319.48,0.327,843
0.00805,2,11760,2784,279.51,0.167,1232
0.00805,2,11760,2800,299.7,0.195,1066
0.00805,2,11760,2800,319.48,0.253,924
0.00803,3,11760,1015,259.3,0.476,628
0.00803,3,11760,1465,280.67,0.381,689
0.00803,3,11760,1465,299.7,0.395,604
0.00803,3,11760,1465,319.48,0.387,464
0.00803,3,11760,2014,259.3,0.274,915
0.00803,3,11760,2014,281.64,0.316,839
0.00803,3,11760,2798,279.51,0.223,969
0.00803,3,11760,3187,259.3,0.188,1221
0.00803,3,11760,3330,318.55,0.276,804
0.00803,4,11760,993,279.51,0.464,402
0.00803,4,11760,993,299.7,0.437,332
0.00803,4,11760,1509,259.3,0.378,605
0.00803,4,11760,1509,279.51,0.36,517
0.00803,4,11760,1509,299.7,0.359,434
0.00803,4,11760,1992,279.51,0.318,632
0.00803,4,11760,1992,299.7,0.319,525
0.00803,4,11760,1992,319.48,0.339,430
0.00803,4,11760,3313,260.33,0.198,966
0.00803,4,11760,3313,279.51,0.23,873
0.00803,4,11760,3346,298.8,0.27,792
0.00803,6,11760,999,168.51,0.456,437
0.00803,6,11760,999,187.8,0.464,410
0.00803,6,11760,999,228.61,0.439,343
0.00803,6,11760,1004,252.06,0.434,302
0.00803,6,11760,999,271.44,0.444,275
0.00803,6,11760,999,280.67,0.439,258
0.00803,6,11760,1986,269.44,0.317,453
0.00803,6,11760,2003,293.71,0.325,380
0.00803,6,11760,2014,317.61,0.347,305
0.0082,5.34,11760,1010,36.34,0.54,759
0.0082,5.34,11760,1010,75.78,0.524,688
0.0082,5.34,11760,1010,95.89,0.508,648
0.0082,5.34,11760,1010,117.09,0.497,608
0.0082,5.34,11760,1010,137.2,0.499,578
0.0082,5.34,11760,1010,158.29,0.506,546
0.0082,5.34,11760,1010,198.01,0.487,472
0.0082,5.34,11760,1010,218.54,0.486,436
0.0082,5.34,11760,1010,260.33,0.471,353
0.0082,5.34,11760,1010,270.44,0.445,322
0.0082,5.34,11760,1010,280.67,0.457,308
0.0082,5.34,11760,1010,289.62,0.439,281
0.0082,5.37,11760,1510,106.86,0.407,866
0.0082,5.37,11760,1510,117.09,0.407,842
0.0082,5.37,11760,1510,157.36,0.412,747
0.0082,5.37,11760,1510,218.54,0.422,602
0.0082,5.37,11760,1510,238.96,0.433,557
0.0082,5.37,11760,1510,259.3,0.421,494
0.0082,5.37,11760,1510,269.44,0.396,447
0.0082,5.37,11760,1510,289.62,0.387,382
0.0082,5.37,11760,1510,299.7,0.383,347
0.0082,5.37,11760,1510,309.77,0.366,303
0.0082,5.34,11760,2005,198.01,0.359,814
0.0082,5.34,11760,2005,219.42,0.343,728
0.0082,5.34,11760,2005,238.96,0.363,676
0.0082,5.34,11760,2010,260.33,0.355,595
0.0082,5.34,11760,2010,269.44,0.365,569
0.0082,5.34,11760,2010,279.51,0.358,525
0.0082,5.34,11760,2005,289.62,0.359,479
0.0082,5.34,11760,1994,300.77,0.35,426
0.0082,5.34,11760,1994,316.49,0.371,373
0.0082,5.34,11760,2310,198.01,0.306,882
0.0082,5.34,11760,2310,218.54,0.312,809
0.0082,5.34,11760,2299,238.96,0.315,728
0.0082,5.34,11760,2315,259.3,0.314,646
0.0082,5.34,11760,2310,270.44,0.307,588
0.0082,5.34,11760,2299,298.8,0.339,490
0.0082,5.34,11760,2289,309.77,0.329,424
0.0082,5.34,11760,2289,315.53,0.338,400
0.0082,6,11760,989,60.65,0.488,607
0.0082,6,11760,989,88,0.487,568
0.0082,6,11760,989,123.02,0.51,528
0.0082,6,11760,989,203.18,0.484,401
0.0082,6,11760,989,244.06,0.497,344
0.0082,6,11760,989,272.44,0.477,290
0.0082,6,11760,2788,233.8,0.263,747
0.0082,6,11760,2788,221.62,0.265,803
0.0082,6,11760,2788,252.06,0.268,672
0.0082,6,11760,2815,271.44,0.296,621
0.0082,6,11760,2788,297.72,0.316,509
0.0082,6,11760,2778,310.78,0.336,459
0.0082,6,11760,2767,318.55,0.348,424
0.0084,0.39,11760,2011,170.59,-0.15,6251
0.0084,0.39,11760,1980,189.39,-0.186,4761
0.0085,0.4,11760,1880,257.66,0,3430
0.01105,1,11760,962,97.32,0.064,2999
0.01105,1,11760,962,117.09,0.077,2824
0.01105,1,11760,962,157.36,0.109,2476
0.01105,1,11760,962,197.1,0.133,2220
0.01105,1,11760,962,218.54,0.18,2003
0.01105,1,11760,962,238.96,0.232,1927
0.01105,1,11760,962,279.51,0.299,1621
0.0108,1,11760,1514,98.04,-0.069,3942
0.0108,1,11760,1514,136.02,-0.063,3327
0.0108,1,11760,1514,157.36,-0.03,3124
0.0108,1,11760,1514,178.65,-0.006,2871
0.0108,1,11760,1514,197.1,0.022,2681
0.0108,1,11760,1514,218.54,0.049,2435
0.0108,1,11760,1514,260.33,0.118,1985
0.0108,1,11760,2002,117.09,-0.089,4663
0.0108,1,11760,2002,137.2,-0.07,4326
0.0108,1,11760,1993,177.73,-0.062,3430
0.0108,1,11760,1999,198.01,-0.032,3169
0.0108,1,11760,1999,219.42,-0.002,2857
0.0108,1,11760,1999,239.81,0.028,2555
0.0108,1,11760,1999,258.27,0.053,2250
0.0108,1,11760,2008,278.54,0.087,1944
0.0108,1,11760,2008,299.7,0.134,1645
0.0108,1,11760,2745,198.01,-0.06,4093
0.0108,1,11760,2745,217.43,-0.03,3733
0.0108,1,11760,2730,238.96,0.002,3285
0.0108,1,11760,2736,260.33,0.013,2655
0.0108,1,11760,2736,299.7,0.085,1800
0.0108,3,11760,498,280.67,0.667,469
0.0108,3,11760,498,299.7,0.669,425
0.0108,3,11760,989,259.71,0.424,762
0.0108,3,11760,989,238.96,0.407,832
0.0108,3,11760,1514,217.43,0.262,1166
0.0108,3,11760,1514,239.81,0.293,1080
0.0108,3,11760,1514,259.3,0.294,958
0.0108,3,11760,1514,280.67,0.334,880
0.0108,3,11760,1514,319.02,0.382,666
0.0108,3,11760,2011,239.38,0.194,1221
0.0108,3,11760,2002,260.33,0.216,1088
0.0108,3,11760,1993,280.67,0.239,953
0.0108,3,11760,1996,299.7,0.279,860
0.0108,3,11760,1996,319.48,0.326,746
0.0108,3,11760,2781,259.3,0.13,1263
0.0108,3,11760,2781,280.09,0.159,1096
0.0108,3,11760,2781,318.55,0.254,838
0.01075,4,11760,1007,238.96,0.434,655
0.01075,4,11760,1007,260.33,0.448,598
0.01075,4,11760,1007,278.54,0.461,548
0.01075,4,11760,1007,298.8,0.457,472
0.01075,4,11760,2033,258.27,0.258,907
0.01075,4,11760,2017,279.51,0.297,822
0.01075,4,11760,2020,318.55,0.321,564
0.01075,5,11760,1010,258.27,0.469,498
0.01075,5,11760,1010,278.54,0.444,430
0.01075,5,11760,1010,298.8,0.434,364
0.01075,5,11760,2039,238.96,0.275,848
0.01075,5,11760,2039,259.3,0.298,774
0.01075,5,11760,2039,279.51,0.297,664
0.01075,5,11760,2020,319.48,0.335,461
0.0108,5.8,11760,1004,193.94,0.436,546
0.0108,5.8,11760,1004,205.65,0.424,516
0.0108,5.8,11760,1004,216.99,0.425,493
0.0108,5.8,11760,1004,239.81,0.429,447
0.0108,5.8,11760,1004,247.44,0.417,423
0.0108,5.8,11760,1004,269.44,0.425,379
0.0108,5.8,11760,1004,280.09,0.428,355
0.0108,5.8,11760,1004,295.72,0.401,302
0.0108,5.8,11760,1004,308.76,0.415,275
0.0108,5.8,11760,1498,269.44,0.353,505
0.0108,5.8,11760,1498,279.51,0.344,462
0.0108,5.8,11760,1514,289.25,0.341,430
0.0108,5.8,11760,1504,290.19,0.335,418
0.0108,5.8,11760,1498,298.26,0.341,391
0.0108,5.8,11760,1489,307.74,0.338,348
0.0108,5.8,11760,1501,310.78,0.341,341
0.0108,5.8,11760,1492,314.56,0.34,322
0.01075,6,11760,499,218.98,0.703,309
0.01075,6,11760,499,259.3,0.698,266
0.01075,6,11760,499,279.51,0.745,258
0.01075,6,11760,499,299.7,0.731,229
0.01075,6,11760,1001,300.77,0.428,293
0.01075,6,11760,1528,157.36,0.335,823
0.01075,6,11760,1528,177.73,0.345,773
0.01075,6,11760,1528,198.01,0.363,728
0.01075,6,11760,1540,238.96,0.367,611
0.01075,6,11760,1528,259.3,0.353,530
0.01075,6,11760,1528,299.7,0.358,393
0.01075,6,11760,2033,238.96,0.299,732
0.01075,6,11760,2020,259.3,0.307,651
0.01075,6,11760,2027,279.51,0.306,560
0.01075,6,11760,2033,318.55,0.333,391
0.01075,6,11760,2773,260.33,0.25,801
0.01075,6,11760,2773,278.54,0.272,722
0.01075,6,11760,2764,299.7,0.292,611
0.0151,6,11760,519,137.2,0.657,559
0.0151,6,11760,519,157.36,0.657,531
0.0151,6,11760,519,177.73,0.671,508
0.0151,6,11760,519,218.54,0.688,457
0.0151,6,11760,519,259.3,0.691,396
0.0151,6,11760,519,279.51,0.697,367
0.0151,6,11760,519,299.7,0.701,333
0.0151,6,11760,778,157.36,0.44,661
0.0151,6,11760,778,177.73,0.453,626
0.0151,6,11760,776,198.01,0.455,584
0.0151,6,11760,775,218.54,0.469,547
0.0151,6,11760,771,238.96,0.463,496
0.0151,6,11760,771,259.3,0.464,452
0.0151,6,11760,775,299.7,0.476,360
0.0151,6,11760,1024,198.01,0.431,752
0.0151,6,11760,1024,218.54,0.42,685
0.0151,6,11760,1024,238.96,0.422,626
0.0151,6,11760,1024,299.7,0.419,430
0.0151,6,11760,1431,259.3,0.369,735
0.0151,6,11760,1428,299.7,0.357,533
0.0151,6,11760,1541,259.3,0.333,743
0.0151,6,11760,1542,279.51,0.342,657
0.0151,6,11760,1544,299.7,0.337,547
0.0151,6,11760,1549,304.81,0.345,531
0.0151,6,11760,1741,304.81,0.348,596
0.0151,6,11760,1741,309.77,0.342,557
0.0151,6,11760,1919,279.51,0.296,748
0.0151,6,11760,1922,299.7,0.324,659
0.0151,6,11760,1930,299.7,0.345,690
0.0151,6,11760,1930,304.81,0.342,652
0.0151,6,11760,1933,309.77,0.345,622
0.0151,6,11760,2122,299.7,0.332,704
0.0151,6,11760,2122,304.81,0.318,676
0.00399,0.5,13720,4444,159.23,-0.135,6443
0.00399,0.5,13720,4444,198.99,-0.089,5384
0.00399,0.5,13720,4444,219.33,-0.046,4993
0.00399,0.5,13720,4444,238.72,-0.039,4307
0.00472,0.305,13720,2763,258.13,-0.036,4194
0.00472,0.305,13720,3445,260.61,-0.059,4731
0.00472,0.305,13720,3573,315.02,0.081,3185
0.00472,0.305,13720,4160,315.02,0.043,3059
0.00472,0.305,13720,4779,265.32,-0.075,5866
0.00475,0.318,13720,2853,287.63,0.053,3690
0.00475,0.318,13720,2853,302.96,0.079,3128
0.00475,0.318,13720,3245,258.13,-0.014,5014
0.00475,0.318,13720,3402,211.11,-0.174,5834
0.00475,0.318,13720,3606,231.59,-0.085,6213
0.00475,0.318,13720,3904,316.01,0.089,3343
0.00475,0.318,13720,4264,302.96,0.039,4005
0.00475,0.318,13720,4358,286.67,0.002,4810
0.00475,0.318,13720,4672,271.38,-0.054,5330
0.00475,0.318,13720,4782,275.57,-0.044,5393
0.00475,0.318,13720,4876,242.78,-0.124,6686
0.00475,0.318,13720,5895,281.66,-0.048,5866
0.00475,0.318,13720,6020,287.63,-0.043,5456
0.00475,0.318,13720,6239,255.01,-0.124,7317
0.0048,1.7,13720,2718,274.38,0.24,1186
0.0048,1.7,13720,2794,300.99,0.245,965
0.0048,1.7,13720,2764,304.03,0.272,976
0.00574,0.625,13720,1310,187.63,0.057,2444
0.00574,0.625,13720,1310,78.57,-0.038,3532
0.00574,0.625,13720,5250,245.97,-0.061,5046
0.00574,0.625,13720,5260,88.64,-0.396,8926
0.00574,0.625,13720,5260,103.71,-0.382,8358
0.00574,0.625,13720,5260,219.33,-0.107,5930
0.00574,0.625,13720,5260,265.32,-0.026,4478
0.00574,0.625,13720,5282,190.6,-0.163,6812
0.00581,1,13720,1499,76.41,0.027,2721
0.00581,1,13720,1499,97.74,0.054,2593
0.00581,1,13720,1499,137.89,0.081,2293
0.00581,1,13720,1499,158.07,0.108,2172
0.00581,1,13720,1499,178.46,0.111,1986
0.00581,1,13720,1499,198.99,0.141,1865
0.00581,1,13720,1499,219.33,0.156,1711
0.00581,1,13720,1499,280.49,0.238,1276
0.00581,1,13720,1499,300.99,0.27,1124
0.00581,1,13720,1499,321.32,0.316,971
0.00581,1,13720,3353,117.76,-0.071,4734
0.00581,1,13720,3353,137.89,-0.046,4460
0.00581,1,13720,3353,159.23,-0.028,4120
0.00581,1,13720,3353,197.86,0.007,3494
0.00581,1,13720,3353,219.33,0.031,3162
0.00581,1,13720,3353,240.86,0.058,2836
0.00581,1,13720,3353,260.19,0.087,2542
0.00581,1,13720,3353,301.89,0.141,1807
0.00581,1,13720,3353,321.79,0.186,1475
0.00581,1,13720,5051,117.76,-0.105,6861
0.00581,1,13720,5030,138.83,-0.075,6419
0.00581,1,13720,5030,158.07,-0.068,5884
0.00581,1,13720,5030,178,-0.043,5469
0.00581,1,13720,5030,218.88,-0.001,4504
0.00581,1,13720,5030,240.22,0.023,3986
0.00581,1,13720,5030,260.19,0.051,3526
0.00581,1,13720,5030,280.49,0.077,3008
0.00581,1,13720,5030,299.91,0.106,2503
0.00581,1,13720,5030,319.89,0.159,2075
0.00578,2,13720,1493,96.54,0.208,1466
0.00578,2,13720,1493,117.76,0.219,1386
0.00578,2,13720,1493,137.89,0.238,1316
0.00578,2,13720,1493,157.13,0.263,1258
0.00578,2,13720,1493,178.46,0.276,1175
0.00578,2,13720,1493,198.99,0.312,1123
0.00578,2,13720,1493,218.22,0.32,1040
0.00578,2,13720,1493,260.19,0.342,861
0.00578,2,13720,1493,299.91,0.389,701
0.00578,2,13720,1493,320.84,0.408,591
0.00578,2,13720,1588,299.91,0.372,726
0.00578,2,13720,2118,299.91,0.303,851
0.00578,2,13720,3441,36.94,-0.018,3384
0.00578,2,13720,3441,58.38,-0.005,3198
0.00578,2,13720,3441,77.61,0.017,3065
0.00578,2,13720,3441,97.74,0.027,2886
0.00578,2,13720,3441,116.81,0.044,2731
0.00578,2,13720,3441,136.95,0.057,2556
0.00578,2,13720,3441,178.46,0.088,2203
0.00578,2,13720,3441,218.22,0.107,1825
0.00578,2,13720,3441,259.16,0.161,1508
0.00578,2,13720,3441,300.99,0.217,1139
0.00578,2,13720,3441,319.89,0.252,960
0.00578,2,13720,3706,299.91,0.199,1190
0.00578,2,13720,3706,300.99,0.198,1172
0.00578,2,13720,4235,299.91,0.21,1396
0.00578,2,13720,4235,299.91,0.205,1376
0.00578,2,13720,4764,299.91,0.21,1563
0.00578,2,13720,4966,117.76,0.002,3756
0.00578,2,13720,4966,137.42,0.018,3523
0.00578,2,13720,4997,159.23,0.031,3268
0.00578,2,13720,4997,179.38,0.047,3027
0.00578,2,13720,5029,238.72,0.111,2351
0.00578,2,13720,5029,259.16,0.12,2043
0.00578,2,13720,5029,281.66,0.162,1809
0.00578,2,13720,5029,300.99,0.195,1579
0.00578,3,13720,1493,77.61,0.216,1043
0.00578,3,13720,1493,98.69,0.244,1002
0.00578,3,13720,1493,159.23,0.312,872
0.00578,3,13720,1493,179.38,0.312,809
0.00578,3,13720,1493,199.89,0.326,755
0.00578,3,13720,1493,219.33,0.339,707
0.00578,3,13720,1493,259.16,0.383,608
0.00578,3,13720,1493,280.49,0.405,551
0.00578,3,13720,1493,299.91,0.413,487
0.00578,3,13720,1493,319.89,0.421,409
0.00578,3,13720,3335,76.41,0.111,2151
0.00578,3,13720,3335,97.74,0.094,1988
0.00578,3,13720,3335,116.81,0.128,1915
0.00578,3,13720,3335,137.89,0.128,1771
0.00578,3,13720,3335,157.13,0.15,1679
0.00578,3,13720,3335,198.99,0.166,1421
0.00578,3,13720,3335,219.33,0.166,1278
0.00578,3,13720,3335,259.58,0.23,1100
0.00578,3,13720,3335,299.91,0.263,826
0.00578,3,13720,4997,77.61,0.046,3047
0.00578,3,13720,4997,96.54,0.05,2860
0.00578,3,13720,4997,137.89,0.065,2488
0.00578,3,13720,4997,158.07,0.098,2360
0.00578,3,13720,4997,179.38,0.115,2186
0.00578,3,13720,4997,198.99,0.137,2053
0.00578,3,13720,4997,219.33,0.158,1891
0.00578,3,13720,5029,260.19,0.215,1600
0.00585,4,13720,1499,36.94,0.324,949
0.00585,4,13720,1499,78.09,0.303,844
0.00585,4,13720,1499,97.74,0.311,804
0.00585,4,13720,1499,118.24,0.319,762
0.00585,4,13720,1499,138.83,0.332,723
0.00585,4,13720,1499,158.07,0.348,688
0.00585,4,13720,1499,199.89,0.385,611
0.00585,4,13720,1499,219.33,0.393,568
0.00585,4,13720,1499,238.72,0.382,515
0.00585,4,13720,1499,261.22,0.364,447
0.00585,4,13720,1499,280.49,0.392,412
0.00585,4,13720,1499,319.89,0.406,303
0.00585,4,13720,3308,36.94,0.137,1850
0.00585,4,13720,3308,56.22,0.15,1772
0.00585,4,13720,3308,97.74,0.171,1593
0.00585,4,13720,3308,117.76,0.185,1509
0.00585,4,13720,3308,137.89,0.205,1432
0.00585,4,13720,3308,158.07,0.214,1343
0.00585,4,13720,3308,179.38,0.208,1224
0.00585,4,13720,3308,198.99,0.224,1144
0.00585,4,13720,3308,260.19,0.289,895
0.00585,4,13720,3308,280.49,0.323,819
0.00585,4,13720,3308,299.91,0.322,697
0.00585,4,13720,3318,330.3,0.336,489
0.00585,4,13720,4982,77.61,0.082,2372
0.00585,4,13720,4982,118.71,0.122,2139
0.00585,4,13720,4982,136.95,0.139,2035
0.00585,4,13720,4982,158.07,0.159,1913
0.00585,4,13720,5013,178.46,0.16,1770
0.00585,4,13720,5013,260.19,0.253,1285
0.00585,4,13720,5013,280.49,0.281,1158
0.00585,4,13720,5003,299.91,0.324,1058
0.00585,4,13720,5013,330.3,0.384,835
0.00585,5,13720,1499,117.76,0.358,629
0.00585,5,13720,1499,158.07,0.426,587
0.00585,5,13720,1499,219.77,0.377,447
0.00585,5,13720,1499,280.49,0.379,323
0.00585,5,13720,1499,300.99,0.351,264
0.00585,5,13720,3339,117.76,0.199,1232
0.00585,5,13720,3359,178.46,0.199,990
0.00585,5,13720,3359,198.99,0.188,892
0.00585,5,13720,3359,219.33,0.203,818
0.00585,5,13720,3359,239.79,0.227,754
0.00585,5,13720,3359,312.01,0.3,476
0.00585,5,13720,3359,320.84,0.311,434
0.00585,5,13720,5054,117.76,0.13,1756
0.00585,5,13720,5054,137.89,0.154,1663
0.00585,5,13720,5054,178.46,0.184,1453
0.00585,5,13720,5034,197.86,0.209,1372
0.00585,5,13720,5034,220.43,0.216,1240
0.00585,5,13720,5013,238.72,0.262,1188
0.00585,5,13720,4941,280.49,0.331,992
0.00585,5,13720,4941,300.99,0.354,875
0.00585,5,13720,4941,319.89,0.398,785
0.00585,6,13720,1499,138.83,0.398,508
0.00585,6,13720,1499,158.53,0.41,482
0.00585,6,13720,1499,178.92,0.399,446
0.00585,6,13720,1499,198.99,0.406,417
0.00585,6,13720,1499,219.33,0.366,369
0.00585,6,13720,1499,260.19,0.371,303
0.00585,6,13720,1499,280.49,0.366,265
0.00585,6,13720,1499,301.89,0.369,225
0.00585,6,13720,3380,136.95,0.234,1005
0.00585,6,13720,3380,158.07,0.229,928
0.00585,6,13720,3380,178.46,0.221,848
0.00585,6,13720,3370,239.79,0.281,678
0.00585,6,13720,3370,281.66,0.315,544
0.00585,6,13720,4899,198.99,0.227,1133
0.00585,6,13720,4930,219.33,0.246,1058
0.00585,6,13720,4910,239.79,0.275,981
0.00585,6,13720,4982,238.72,0.285,1015
0.00585,6,13720,4899,261.22,0.329,930
0.00585,6,13720,4982,279.51,0.355,871
0.00782,0.25,13720,1013,117.76,-0.333,5437
0.00782,0.25,13720,1013,137.89,-0.296,5076
0.00782,0.25,13720,1013,178.46,-0.214,4433
0.00782,0.25,13720,1013,199.89,-0.177,4015
0.00782,0.25,13720,1013,220.43,-0.148,3561
0.00782,0.25,13720,1013,240.86,-0.104,3201
0.00782,0.25,13720,1504,118.71,-0.412,7028
0.00782,0.25,13720,1504,138.83,-0.386,6346
0.00782,0.25,13720,1504,158.07,-0.334,6062
0.00782,0.25,13720,1504,177.54,-0.321,5266
0.00782,0.25,13720,1504,198.99,-0.264,4906
0.00782,0.25,13720,1504,219.33,-0.192,4774
0.00782,0.25,13720,1504,239.79,-0.156,4148
0.00782,0.25,13720,1504,260.19,-0.122,3466
0.00782,0.25,13720,1504,279.51,-0.068,3030
0.00782,0.25,13720,1990,157.13,-0.403,6915
0.00782,0.25,13720,1990,179.38,-0.346,6422
0.00782,0.25,13720,1990,197.86,-0.316,5664
0.00782,0.25,13720,1990,238.72,-0.2,4811
0.00782,0.25,13720,1990,260.19,-0.148,4148
0.00782,0.25,13720,1990,279.51,-0.096,3542
0.00782,0.25,13720,3002,220.43,-0.29,6915
0.00782,0.25,13720,3002,240.86,-0.23,6289
0.00775,1.39,13720,996,178,0.297,1546
0.00798,1.65,13720,1245,285.14,0.334,1011
0.00798,1.65,13720,1272,289.72,0.326,976
0.00798,1.65,13720,1878,310.48,0.262,1035
0.00798,1.65,13720,2433,331.28,0.245,872
0.00795,2,13720,985,57.42,0.248,1535
0.00795,2,13720,985,76.41,0.248,1453
0.00795,2,13720,985,98.69,0.279,1395
0.00795,2,13720,985,136.95,0.276,1232
0.00795,2,13720,985,178.46,0.306,1097
0.00795,2,13720,985,198.99,0.323,1030
0.00795,2,13720,985,220.43,0.354,971
0.00795,2,13720,985,238.72,0.37,907
0.00795,2,13720,985,260.19,0.381,825
0.00795,2,13720,985,280.49,0.385,728
0.00795,2,13720,1495,39.11,0.059,2139
0.00795,2,13720,1495,77.61,0.085,1942
0.00795,2,13720,1495,98.69,0.105,1849
0.00795,2,13720,1495,117.76,0.132,1767
0.00795,2,13720,1495,137.89,0.132,1651
0.00795,2,13720,1495,179.38,0.166,1442
0.00795,2,13720,1495,197.86,0.185,1349
0.00795,2,13720,1495,239.79,0.208,1111
0.00795,2,13720,1495,261.22,0.25,1029
0.00795,2,13720,2004,77.61,0.026,2477
0.00795,2,13720,2004,116.81,0.058,2221
0.00795,2,13720,2004,138.83,0.079,2081
0.00795,2,13720,2004,158.07,0.105,1965
0.00795,2,13720,2004,179.38,0.119,1825
0.00795,2,13720,2004,198.31,0.148,1721
0.00795,2,13720,2004,199.89,0.121,1651
0.00795,2,13720,2004,219.33,0.129,1500
0.00795,2,13720,2004,219.33,0.174,1593
0.00795,2,13720,2004,260.19,0.212,1302
0.00795,2,13720,2004,279.51,0.213,1119
0.00795,2,13720,2787,97.02,0.004,3151
0.00795,2,13720,2771,138.83,0.012,2674
0.00795,2,13720,2771,158.07,0.035,2512
0.00795,2,13720,2765,219.33,0.095,1965
0.00795,2,13720,2765,239.79,0.115,1779
0.00795,2,13720,2765,259.16,0.138,1593
0.0077,2.1,13720,1528,237.64,0.252,1116
0.0077,2.1,13720,1546,270.98,0.269,942
0.0077,2.1,13720,1528,301.35,0.325,802
0.00805,1,13720,1005,260.19,0.246,1407
0.00805,1,13720,1507,260.19,0.135,1732
0.00805,1,13720,1507,280.49,0.155,1500
0.00805,1,13720,1507,300.99,0.196,1325
0.00805,1,13720,1507,320.84,0.228,1071
0.00805,1,13720,2014,299.91,0.131,1500
0.00805,1,13720,2014,320.84,0.18,1221
0.00805,1,13720,2773,259.16,0.037,2616
0.00805,1,13720,2773,319.89,0.148,1477
0.00805,1,13720,3330,260.19,0.011,2930
0.00805,1,13720,3330,280.49,0.042,2500
0.00805,1,13720,3330,299.91,0.08,2105
0.00805,1,13720,3330,320.84,0.127,1639
0.00805,2,13720,999,300.99,0.412,674
0.00805,2,13720,999,320.84,0.446,593
0.00805,2,13720,1452,300.99,0.273,758
0.00805,2,13720,1452,320.84,0.325,673
0.00805,2,13720,2009,260.19,0.176,1256
0.00805,2,13720,2009,300.99,0.239,976
0.00805,2,13720,2009,320.84,0.247,755
0.00805,2,13720,2784,261.22,0.12,1546
0.00805,2,13720,2784,280.49,0.144,1360
0.00805,2,13720,2784,300.99,0.164,1123
0.00805,2,13720,3330,260.19,0.102,1802
0.00805,2,13720,3330,280.49,0.113,1511
0.00805,2,13720,3330,300.99,0.151,1302
0.00805,2,13720,3297,321.79,0.199,1046
